"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"1133",530,2,7,2,6,NA,3,2,4,1,3,1,1,0,0,3
"1936",530,2,7,2,6,NA,3,2,4,1,3,0,1,1,0,3
"533",531,1,4,5,1,2,1,2,3,3,2,0,1,0,0,5
"733",531,1,4,5,1,2,1,2,3,3,2,0,0,0,0,5
"2337",531,1,4,5,1,2,1,2,3,3,2,0,1,1,1,4
"2536",531,1,4,5,1,2,1,2,3,3,2,1,1,1,1,4
"332",532,1,7,2,6,NA,2,2,3,3,4,0,0,0,1,3
"1336",532,1,7,2,6,NA,2,2,3,3,4,1,0,0,1,3
"1536",532,1,7,2,6,NA,2,2,3,3,4,1,1,0,1,3
"2537",532,1,7,2,6,NA,2,2,3,3,4,1,1,1,1,2
"133",533,1,6,2,6,NA,2,3,5,1,4,0,1,0,1,3
"935",533,1,6,2,6,NA,2,3,5,1,4,1,0,0,0,3
"1735",533,1,6,2,6,NA,2,3,5,1,4,0,1,0,1,3
"2738",533,1,6,2,6,NA,2,3,5,1,4,1,1,1,0,3
"734",534,1,7,4,6,NA,2,2,4,1,3,0,0,0,0,3
"1134",534,1,7,4,6,NA,2,2,4,1,3,1,1,0,0,3
"2937",534,1,7,4,6,NA,2,2,4,1,3,1,0,1,1,4
"3138",534,1,7,4,6,NA,2,2,4,1,3,1,0,1,0,2
"534",535,1,6,3,5,5,2,2,5,2,3,0,1,0,0,2
"1937",535,1,6,3,5,5,2,2,5,2,3,0,1,1,0,3
"2138",535,1,6,3,5,5,2,2,5,2,3,0,0,1,1,2
"2338",535,1,6,3,5,5,2,2,5,2,3,0,1,1,1,2
"936",536,1,4,5,5,6,1,2,3,1,3,1,0,0,0,4
"1337",536,1,4,5,5,6,1,2,3,1,3,1,0,0,1,4
"1537",536,1,4,5,5,6,1,2,3,1,3,1,1,0,1,2
"2139",536,1,4,5,5,6,1,2,3,1,3,0,0,1,1,3
"333",537,1,6,2,6,NA,2,4,4,3,2,0,0,0,1,3
"535",537,1,6,2,6,NA,2,4,4,3,2,0,1,0,0,3
"1736",537,1,6,2,6,NA,2,4,4,3,2,0,1,0,1,4
"3139",537,1,6,2,6,NA,2,4,4,3,2,1,0,1,0,5
"134",538,2,4,5,3,3,2,2,5,2,3,0,1,0,1,3
"735",538,2,4,5,3,3,2,2,5,2,3,0,0,0,0,4
"1135",538,2,4,5,3,3,2,2,5,2,3,1,1,0,0,4
"2339",538,2,4,5,3,3,2,2,5,2,3,0,1,1,1,3
"1938",539,2,2,4,4,3,1,1,3,2,2,0,1,1,0,4
"2340",539,2,2,4,4,3,1,1,3,2,2,0,1,1,1,3
"2938",539,2,2,4,4,3,1,1,3,2,2,1,0,1,1,3
"3140",539,2,2,4,4,3,1,1,3,2,2,1,0,1,0,2
"736",540,1,1,5,6,NA,1,3,2,2,3,0,0,0,0,4
"1136",540,1,1,5,6,NA,1,3,2,2,3,1,1,0,0,2
"2140",540,1,1,5,6,NA,1,3,2,2,3,0,0,1,1,4
"2538",540,1,1,5,6,NA,1,3,2,2,3,1,1,1,1,3
"135",541,1,5,2,2,6,2,3,4,1,3,0,1,0,1,2
"536",541,1,5,2,2,6,2,3,4,1,3,0,1,0,0,2
"1538",541,1,5,2,2,6,2,3,4,1,3,1,1,0,1,2
"2739",541,1,5,2,2,6,2,3,4,1,3,1,1,1,0,3
"334",542,2,6,2,6,NA,5,1,5,1,3,0,0,0,1,3
"937",542,2,6,2,6,NA,5,1,5,1,3,1,0,0,0,4
"1338",542,2,6,2,6,NA,5,1,5,1,3,1,0,0,1,3
"1737",542,2,6,2,6,NA,5,1,5,1,3,0,1,0,1,4
"1939",543,1,5,5,2,2,3,3,3,3,3,0,1,1,0,3
"2539",543,1,5,5,2,2,3,3,3,3,3,1,1,1,1,3
"2740",543,1,5,5,2,2,3,3,3,3,3,1,1,1,0,3
"2939",543,1,5,5,2,2,3,3,3,3,3,1,0,1,1,3
"737",544,1,6,4,5,2,1,1,1,1,2,0,0,0,0,3
"1137",544,1,6,4,5,2,1,1,1,1,2,1,1,0,0,3
"1339",544,1,6,4,5,2,1,1,1,1,2,1,0,0,1,2
"1539",544,1,6,4,5,2,1,1,1,1,2,1,1,0,1,2
"335",545,1,6,5,6,NA,1,4,2,3,2,0,0,0,1,2
"537",545,1,6,5,6,NA,1,4,2,3,2,0,1,0,0,3
"1940",545,1,6,5,6,NA,1,4,2,3,2,0,1,1,0,3
"3141",545,1,6,5,6,NA,1,4,2,3,2,1,0,1,0,3
"136",546,1,6,5,4,7,3,2,4,3,3,0,1,0,1,2
"1738",546,1,6,5,4,7,3,2,4,3,3,0,1,0,1,3
"2141",546,1,6,5,4,7,3,2,4,3,3,0,0,1,1,3
"2540",546,1,6,5,4,7,3,2,4,3,3,1,1,1,1,2
"938",547,2,4,4,6,NA,3,2,5,1,5,1,0,0,0,4
"2341",547,2,4,4,6,NA,3,2,5,1,5,0,1,1,1,2
"2741",547,2,4,4,6,NA,3,2,5,1,5,1,1,1,0,3
"2940",547,2,4,4,6,NA,3,2,5,1,5,1,0,1,1,3
"538",548,1,5,3,2,1,1,4,3,3,3,0,1,0,0,3
"1138",548,1,5,3,2,1,1,4,3,3,3,1,1,0,0,3
"1739",548,1,5,3,2,1,1,4,3,3,3,0,1,0,1,4
"2742",548,1,5,3,2,1,1,4,3,3,3,1,1,1,0,3
"137",549,2,4,5,2,3,2,3,3,2,3,0,1,0,1,3
"1340",549,2,4,5,2,3,2,3,3,2,3,1,0,0,1,4
"1540",549,2,4,5,2,3,2,3,3,2,3,1,1,0,1,3
"3142",549,2,4,5,2,3,2,3,3,2,3,1,0,1,0,4
"738",550,1,5,5,2,1,2,2,5,1,2,0,0,0,0,3
"939",550,1,5,5,2,1,2,2,5,1,2,1,0,0,0,3
"1941",550,1,5,5,2,1,2,2,5,1,2,0,1,1,0,3
"2941",550,1,5,5,2,1,2,2,5,1,2,1,0,1,1,3
"336",551,1,6,4,2,7,1,1,5,1,3,0,0,0,1,3
"2142",551,1,6,4,2,7,1,1,5,1,3,0,0,1,1,3
"2342",551,1,6,4,2,7,1,1,5,1,3,0,1,1,1,2
