"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"1953",597,2,4,5,2,3,2,3,5,2,3,0,1,1,0,3
"2154",597,2,4,5,2,3,2,3,5,2,3,0,0,1,1,3
"148",598,1,5,5,2,1,3,3,3,3,2,0,1,0,1,2
"2354",598,1,5,5,2,1,3,3,3,3,2,0,1,1,1,2
"2553",598,1,5,5,2,1,3,3,3,3,2,1,1,1,1,2
"2754",598,1,5,5,2,1,3,3,3,3,2,1,1,1,0,3
"750",599,2,6,4,6,NA,2,2,4,1,3,0,0,0,0,4
"1150",599,2,6,4,6,NA,2,2,4,1,3,1,1,0,0,3
"2755",599,2,6,4,6,NA,2,2,4,1,3,1,1,1,0,2
"3154",599,2,6,4,6,NA,2,2,4,1,3,1,0,1,0,3
"349",600,1,6,5,6,NA,2,2,3,2,2,0,0,0,1,3
"550",600,1,6,5,6,NA,2,2,3,2,2,0,1,0,0,3
"1954",600,1,6,5,6,NA,2,2,3,2,2,0,1,1,0,3
"2954",600,1,6,5,6,NA,2,2,3,2,2,1,0,1,1,2
"751",601,1,5,3,5,2,2,3,3,4,3,0,0,0,0,3
"1552",601,1,5,3,5,2,2,3,3,4,3,1,1,0,1,3
"2155",601,1,5,3,5,2,2,3,3,4,3,0,0,1,1,3
"3155",601,1,5,3,5,2,2,3,3,4,3,1,0,1,0,3
"952",602,1,5,5,2,4,2,3,3,2,3,1,0,0,0,3
"1151",602,1,5,5,2,4,2,3,3,2,3,1,1,0,0,2
"1353",602,1,5,5,2,4,2,3,3,2,3,1,0,0,1,3
"1752",602,1,5,5,2,4,2,3,3,2,3,0,1,0,1,4
"752",603,2,4,3,2,2,3,3,4,3,2,0,0,0,0,4
"953",603,2,4,3,2,2,3,3,4,3,2,1,0,0,0,4
"1553",603,2,4,3,2,2,3,3,4,3,2,1,1,0,1,2
"2554",603,2,4,3,2,2,3,3,4,3,2,1,1,1,1,2
"350",604,1,6,5,6,NA,2,2,3,1,4,0,0,0,1,4
"2156",604,1,6,5,6,NA,2,2,3,1,4,0,0,1,1,3
"2756",604,1,6,5,6,NA,2,2,3,1,4,1,1,1,0,3
"3156",604,1,6,5,6,NA,2,2,3,1,4,1,0,1,0,3
"149",605,1,4,5,3,3,1,1,1,1,1,0,1,0,1,1
"1152",605,1,4,5,3,3,1,1,1,1,1,1,1,0,0,1
"1955",605,1,4,5,3,3,1,1,1,1,1,0,1,1,0,1
"2355",605,1,4,5,3,3,1,1,1,1,1,0,1,1,1,1
"551",606,1,7,5,6,NA,2,3,4,3,3,0,1,0,0,4
"1354",606,1,7,5,6,NA,2,3,4,3,3,1,0,0,1,2
"1753",606,1,7,5,6,NA,2,3,4,3,3,0,1,0,1,3
"2955",606,1,7,5,6,NA,2,3,4,3,3,1,0,1,1,3
"351",607,2,7,2,6,NA,3,1,5,2,3,0,0,0,1,3
"954",607,2,7,2,6,NA,3,1,5,2,3,1,0,0,0,3
"2555",607,2,7,2,6,NA,3,1,5,2,3,1,1,1,1,2
"2757",607,2,7,2,6,NA,3,1,5,2,3,1,1,1,0,3
"753",608,1,7,2,6,NA,2,2,5,2,5,0,0,0,0,3
"1355",608,1,7,2,6,NA,2,2,5,2,5,1,0,0,1,3
"1754",608,1,7,2,6,NA,2,2,5,2,5,0,1,0,1,4
"1956",608,1,7,2,6,NA,2,2,5,2,5,0,1,1,0,3
"1554",609,1,4,5,2,1,1,5,1,5,4,1,1,0,1,2
"2157",609,1,4,5,2,1,1,5,1,5,4,0,0,1,1,2
"2956",609,1,4,5,2,1,1,5,1,5,4,1,0,1,1,3
"3157",609,1,4,5,2,1,1,5,1,5,4,1,0,1,0,4
"150",610,2,5,2,4,3,3,3,3,2,5,0,1,0,1,3
"552",610,2,5,2,4,3,3,3,3,2,5,0,1,0,0,3
"1153",610,2,5,2,4,3,3,3,3,2,5,1,1,0,0,3
"2356",610,2,5,2,4,3,3,3,3,2,5,0,1,1,1,3
"1356",611,2,3,2,NA,NA,2,3,5,1,3,1,0,0,1,2
"1555",611,2,3,2,NA,NA,2,3,5,1,3,1,1,0,1,2
"2158",611,2,3,2,NA,NA,2,3,5,1,3,0,0,1,1,2
"2758",611,2,3,2,NA,NA,2,3,5,1,3,1,1,1,0,1
"151",612,1,7,6,6,NA,2,3,4,2,2,0,1,0,1,2
"754",612,1,7,6,6,NA,2,3,4,2,2,0,0,0,0,3
"1957",612,1,7,6,6,NA,2,3,4,2,2,0,1,1,0,2
"2957",612,1,7,6,6,NA,2,3,4,2,2,1,0,1,1,3
"352",613,1,5,6,2,4,2,3,3,3,2,0,0,0,1,3
"1755",613,1,5,6,2,4,2,3,3,3,2,0,1,0,1,3
"2556",613,1,5,6,2,4,2,3,3,3,2,1,1,1,1,2
"3158",613,1,5,6,2,4,2,3,3,3,2,1,0,1,0,3
"553",614,1,7,5,6,NA,3,3,5,1,2,0,1,0,0,3
"955",614,1,7,5,6,NA,3,3,5,1,2,1,0,0,0,4
"1154",614,1,7,5,6,NA,3,3,5,1,2,1,1,0,0,3
"2357",614,1,7,5,6,NA,3,3,5,1,2,0,1,1,1,2
"152",615,2,4,5,6,NA,1,1,2,1,2,0,1,0,1,3
"554",615,2,4,5,6,NA,1,1,2,1,2,0,1,0,0,3
"2159",615,2,4,5,6,NA,1,1,2,1,2,0,0,1,1,3
"3159",615,2,4,5,6,NA,1,1,2,1,2,1,0,1,0,2
"1357",616,1,5,2,3,4,3,2,3,NA,NA,1,0,0,1,3
"2358",616,1,5,2,3,4,3,2,3,NA,NA,0,1,1,1,2
"2557",616,1,5,2,3,4,3,2,3,NA,NA,1,1,1,1,2
"2759",616,1,5,2,3,4,3,2,3,NA,NA,1,1,1,0,3
"353",617,2,3,3,6,NA,2,3,5,1,3,0,0,0,1,3
"755",617,2,3,3,6,NA,2,3,5,1,3,0,0,0,0,3
"1556",617,2,3,3,6,NA,2,3,5,1,3,1,1,0,1,3
"1958",617,2,3,3,6,NA,2,3,5,1,3,0,1,1,0,3
"956",618,1,4,5,2,6,2,3,4,4,3,1,0,0,0,4
"1155",618,1,4,5,2,6,2,3,4,4,3,1,1,0,0,3
"1756",618,1,4,5,2,6,2,3,4,4,3,0,1,0,1,2
"2958",618,1,4,5,2,6,2,3,4,4,3,1,0,1,1,1
"555",619,2,6,5,5,2,2,2,4,2,2,0,1,0,0,3
"756",619,2,6,5,5,2,2,2,4,2,2,0,0,0,0,3
"1358",619,2,6,5,5,2,2,2,4,2,2,1,0,0,1,2
"2959",619,2,6,5,5,2,2,2,4,2,2,1,0,1,1,3
"1557",620,1,5,5,6,NA,1,4,2,NA,4,1,1,0,1,3
"1959",620,1,5,5,6,NA,1,4,2,NA,4,0,1,1,0,3
"2160",620,1,5,5,6,NA,1,4,2,NA,4,0,0,1,1,3
"2558",620,1,5,5,6,NA,1,4,2,NA,4,1,1,1,1,2
"153",621,1,7,5,6,NA,2,2,4,3,3,0,1,0,1,3
"1156",621,1,7,5,6,NA,2,2,4,3,3,1,1,0,0,3
"2760",621,1,7,5,6,NA,2,2,4,3,3,1,1,1,0,2
"3160",621,1,7,5,6,NA,2,2,4,3,3,1,0,1,0,3
"354",622,1,4,3,2,6,3,4,5,2,4,0,0,0,1,3
"957",622,1,4,3,2,6,3,4,5,2,4,1,0,0,0,4
"1757",622,1,4,3,2,6,3,4,5,2,4,0,1,0,1,5
"2359",622,1,4,3,2,6,3,4,5,2,4,0,1,1,1,2
"958",623,2,4,5,6,NA,2,2,4,2,4,1,0,0,0,4
"1157",623,2,4,5,6,NA,2,2,4,2,4,1,1,0,0,3
"1758",623,2,4,5,6,NA,2,2,4,2,4,0,1,0,1,4
"2161",623,2,4,5,6,NA,2,2,4,2,4,0,0,1,1,4
"355",624,1,7,2,6,NA,1,3,3,1,3,0,0,0,1,2
"1558",624,1,7,2,6,NA,1,3,3,1,3,1,1,0,1,2
"2761",624,1,7,2,6,NA,1,3,3,1,3,1,1,1,0,3
"3161",624,1,7,2,6,NA,1,3,3,1,3,1,0,1,0,3
"556",625,1,7,2,6,NA,1,2,5,1,4,0,1,0,0,4
"757",625,1,7,2,6,NA,1,2,5,1,4,0,0,0,0,5
"1960",625,1,7,2,6,NA,1,2,5,1,4,0,1,1,0,5
"2360",625,1,7,2,6,NA,1,2,5,1,4,0,1,1,1,3
"154",626,1,6,5,1,1,1,3,5,1,3,0,1,0,1,3
"1359",626,1,6,5,1,1,1,3,5,1,3,1,0,0,1,3
"2559",626,1,6,5,1,1,1,3,5,1,3,1,1,1,1,3
"2960",626,1,6,5,1,1,1,3,5,1,3,1,0,1,1,3
"356",627,1,6,5,2,3,4,2,5,1,4,0,0,0,1,3
"557",627,1,6,5,2,3,4,2,5,1,4,0,1,0,0,4
"1559",627,1,6,5,2,3,4,2,5,1,4,1,1,0,1,3
"2560",627,1,6,5,2,3,4,2,5,1,4,1,1,1,1,2
"1360",628,2,6,5,2,2,2,3,4,2,3,1,0,0,1,3
"1759",628,2,6,5,2,2,2,3,4,2,3,0,1,0,1,3
"2762",628,2,6,5,2,2,2,3,4,2,3,1,1,1,0,3
"3162",628,2,6,5,2,2,2,3,4,2,3,1,0,1,0,3
"155",629,1,4,5,1,1,1,3,5,1,4,0,1,0,1,3
"758",629,1,4,5,1,1,1,3,5,1,4,0,0,0,0,4
"959",629,1,4,5,1,1,1,3,5,1,4,1,0,0,0,4
"2361",629,1,4,5,1,1,1,3,5,1,4,0,1,1,1,3
"1158",630,2,5,5,3,3,2,4,3,2,3,1,1,0,0,4
"1961",630,2,5,5,3,3,2,4,3,2,3,0,1,1,0,4
"2162",630,2,5,5,3,3,2,4,3,2,3,0,0,1,1,4
"2961",630,2,5,5,3,3,2,4,3,2,3,1,0,1,1,4
"558",631,1,5,2,4,7,3,1,4,1,4,0,1,0,0,4
"1159",631,1,5,2,4,7,3,1,4,1,4,1,1,0,0,4
"1760",631,1,5,2,4,7,3,1,4,1,4,0,1,0,1,4
"1962",631,1,5,2,4,7,3,1,4,1,4,0,1,1,0,4
"759",632,1,3,5,2,3,1,5,3,2,2,0,0,0,0,4
"1361",632,1,3,5,2,3,1,5,3,2,2,1,0,0,1,3
"1560",632,1,3,5,2,3,1,5,3,2,2,1,1,0,1,2
"2962",632,1,3,5,2,3,1,5,3,2,2,1,0,1,1,3
"960",633,1,7,5,6,NA,5,1,5,1,3,1,0,0,0,3
"2163",633,1,7,5,6,NA,5,1,5,1,3,0,0,1,1,3
"2362",633,1,7,5,6,NA,5,1,5,1,3,0,1,1,1,2
"3163",633,1,7,5,6,NA,5,1,5,1,3,1,0,1,0,3
"156",634,2,6,2,1,1,2,3,5,1,3,0,1,0,1,2
"357",634,2,6,2,1,1,2,3,5,1,3,0,0,0,1,3
"2561",634,2,6,2,1,1,2,3,5,1,3,1,1,1,1,2
"2763",634,2,6,2,1,1,2,3,5,1,3,1,1,1,0,4
"157",635,2,5,3,5,5,2,2,4,2,3,0,1,0,1,2
"961",635,2,5,3,5,5,2,2,4,2,3,1,0,0,0,2
"2164",635,2,5,3,5,5,2,2,4,2,3,0,0,1,1,2
"2562",635,2,5,3,5,5,2,2,4,2,3,1,1,1,1,2
"760",636,1,5,6,5,2,5,1,5,2,2,0,0,0,0,4
"1362",636,1,5,6,5,2,5,1,5,2,2,1,0,0,1,3
"2363",636,1,5,6,5,2,5,1,5,2,2,0,1,1,1,2
"3164",636,1,5,6,5,2,5,1,5,2,2,1,0,1,0,3
"1561",637,2,5,4,3,3,3,3,4,2,4,1,1,0,1,2
"1761",637,2,5,4,3,3,3,3,4,2,4,0,1,0,1,3
"2764",637,2,5,4,3,3,3,3,4,2,4,1,1,1,0,2
"2963",637,2,5,4,3,3,3,3,4,2,4,1,0,1,1,2
"358",638,2,6,2,2,3,2,4,5,1,3,0,0,0,1,4
"559",638,2,6,2,2,3,2,4,5,1,3,0,1,0,0,4
"1160",638,2,6,2,2,3,2,4,5,1,3,1,1,0,0,5
"1963",638,2,6,2,2,3,2,4,5,1,3,0,1,1,0,5
"1161",639,2,5,2,2,3,3,3,3,3,3,1,1,0,0,2
"1562",639,2,5,2,2,3,3,3,3,3,3,1,1,0,1,2
"1762",639,2,5,2,2,3,3,3,3,3,3,0,1,0,1,3
"2563",639,2,5,2,2,3,3,3,3,3,3,1,1,1,1,2
"359",640,1,5,5,5,4,4,2,4,2,5,0,0,0,1,2
"1363",640,1,5,5,5,4,4,2,4,2,5,1,0,0,1,3
"2765",640,1,5,5,5,4,4,2,4,2,5,1,1,1,0,2
"3165",640,1,5,5,5,4,4,2,4,2,5,1,0,1,0,4
"560",641,1,6,5,2,2,2,4,3,2,2,0,1,0,0,2
"761",641,1,6,5,2,2,2,4,3,2,2,0,0,0,0,2
"2364",641,1,6,5,2,2,2,4,3,2,2,0,1,1,1,2
"2964",641,1,6,5,2,2,2,4,3,2,2,1,0,1,1,2
"158",642,2,3,4,3,4,3,2,5,2,4,0,1,0,1,1
"962",642,2,3,4,3,4,3,2,5,2,4,1,0,0,0,3
"1964",642,2,3,4,3,4,3,2,5,2,4,0,1,1,0,2
"2165",642,2,3,4,3,4,3,2,5,2,4,0,0,1,1,2
"1563",643,2,6,4,6,NA,2,2,4,1,3,1,1,0,1,2
"1965",643,2,6,4,6,NA,2,2,4,1,3,0,1,1,0,3
"2365",643,2,6,4,6,NA,2,2,4,1,3,0,1,1,1,2
"3166",643,2,6,4,6,NA,2,2,4,1,3,1,0,1,0,2
"360",644,1,6,5,6,NA,2,2,4,2,3,0,0,0,1,2
"963",644,1,6,5,6,NA,2,2,4,2,3,1,0,0,0,3
"1162",644,1,6,5,6,NA,2,2,4,2,3,1,1,0,0,3
"2166",644,1,6,5,6,NA,2,2,4,2,3,0,0,1,1,2
"159",645,1,6,3,6,NA,3,NA,3,NA,4,0,1,0,1,3
"1763",645,1,6,3,6,NA,3,NA,3,NA,4,0,1,0,1,3
"2564",645,1,6,3,6,NA,3,NA,3,NA,4,1,1,1,1,3
"2965",645,1,6,3,6,NA,3,NA,3,NA,4,1,0,1,1,3
"361",646,2,2,5,2,3,1,4,1,5,3,0,0,0,1,3
"762",646,2,2,5,2,3,1,4,1,5,3,0,0,0,0,3
"1966",646,2,2,5,2,3,1,4,1,5,3,0,1,1,0,2
"2565",646,2,2,5,2,3,1,4,1,5,3,1,1,1,1,2
"160",647,2,4,4,6,NA,1,3,4,2,4,0,1,0,1,3
"964",647,2,4,4,6,NA,1,3,4,2,4,1,0,0,0,4
"2966",647,2,4,4,6,NA,1,3,4,2,4,1,0,1,1,3
"3167",647,2,4,4,6,NA,1,3,4,2,4,1,0,1,0,4
"561",648,2,5,5,3,3,3,2,4,2,2,0,1,0,0,3
"763",648,2,5,5,3,3,3,2,4,2,2,0,0,0,0,4
"1364",648,2,5,5,3,3,3,2,4,2,2,1,0,0,1,4
"2766",648,2,5,5,3,3,3,2,4,2,2,1,1,1,0,3
"562",649,1,5,5,5,2,3,2,4,1,4,0,1,0,0,2
"1365",649,1,5,5,5,2,3,2,4,1,4,1,0,0,1,3
"1564",649,1,5,5,5,2,3,2,4,1,4,1,1,0,1,2
"1764",649,1,5,5,5,2,3,2,4,1,4,0,1,0,1,3
"1163",650,2,4,4,2,2,2,2,5,2,4,1,1,0,0,3
"2167",650,2,4,4,2,2,2,2,5,2,4,0,0,1,1,2
"2366",650,2,4,4,2,2,2,2,5,2,4,0,1,1,1,2
"2767",650,2,4,4,2,2,2,2,5,2,4,1,1,1,0,3
"965",651,1,7,2,3,4,3,3,4,2,4,1,0,0,0,3
"1366",651,1,7,2,3,4,3,3,4,2,4,1,0,0,1,3
"1967",651,1,7,2,3,4,3,3,4,2,4,0,1,1,0,3
"2367",651,1,7,2,3,4,3,3,4,2,4,0,1,1,1,2
"362",652,1,5,5,2,4,3,2,4,1,4,0,0,0,1,4
"563",652,1,5,5,2,4,3,2,4,1,4,0,1,0,0,5
"1164",652,1,5,5,2,4,3,2,4,1,4,1,1,0,0,5
"1565",652,1,5,5,2,4,3,2,4,1,4,1,1,0,1,3
"161",653,1,7,5,6,NA,3,3,5,2,3,0,1,0,1,3
"764",653,1,7,5,6,NA,3,3,5,2,3,0,0,0,0,3
"1765",653,1,7,5,6,NA,3,3,5,2,3,0,1,0,1,3
"2566",653,1,7,5,6,NA,3,3,5,2,3,1,1,1,1,3
"2168",654,2,4,5,1,1,2,2,4,2,2,0,0,1,1,3
"2768",654,2,4,5,1,1,2,2,4,2,2,1,1,1,0,2
"2967",654,2,4,5,1,1,2,2,4,2,2,1,0,1,1,3
"3168",654,2,4,5,1,1,2,2,4,2,2,1,0,1,0,3
"1165",655,1,5,4,3,5,3,3,3,3,3,1,1,0,0,3
"1367",655,1,5,4,3,5,3,3,3,3,3,1,0,0,1,3
"1766",655,1,5,4,3,5,3,3,3,3,3,0,1,0,1,3
"2368",655,1,5,4,3,5,3,3,3,3,3,0,1,1,1,3
"564",656,1,5,5,2,1,2,2,4,1,2,0,1,0,0,2
"2169",656,1,5,5,2,1,2,2,4,1,2,0,0,1,1,2
"2567",656,1,5,5,2,1,2,2,4,1,2,1,1,1,1,2
"2968",656,1,5,5,2,1,2,2,4,1,2,1,0,1,1,3
"162",657,1,5,6,5,5,1,5,1,4,5,0,1,0,1,3
"363",657,1,5,6,5,5,1,5,1,4,5,0,0,0,1,3
"966",657,1,5,6,5,5,1,5,1,4,5,1,0,0,0,3
"2769",657,1,5,6,5,5,1,5,1,4,5,1,1,1,0,3
"765",658,1,5,2,2,1,2,3,3,2,4,0,0,0,0,4
"1566",658,1,5,2,2,1,2,3,3,2,4,1,1,0,1,3
"1968",658,1,5,2,2,1,2,3,3,2,4,0,1,1,0,3
"3169",658,1,5,2,2,1,2,3,3,2,4,1,0,1,0,4
"565",659,1,7,4,2,7,3,2,1,1,4,0,1,0,0,3
"967",659,1,7,4,2,7,3,2,1,1,4,1,0,0,0,4
"1567",659,1,7,4,2,7,3,2,1,1,4,1,1,0,1,2
"3170",659,1,7,4,2,7,3,2,1,1,4,1,0,1,0,3
"364",660,1,6,2,3,6,5,1,5,1,4,0,0,0,1,3
"1368",660,1,6,2,3,6,5,1,5,1,4,1,0,0,1,3
"1969",660,1,6,2,3,6,5,1,5,1,4,0,1,1,0,2
"2770",660,1,6,2,3,6,5,1,5,1,4,1,1,1,0,3
"163",661,1,3,5,1,6,3,NA,3,4,3,0,1,0,1,3
"1767",661,1,3,5,1,6,3,NA,3,4,3,0,1,0,1,3
"2369",661,1,3,5,1,6,3,NA,3,4,3,0,1,1,1,4
"2969",661,1,3,5,1,6,3,NA,3,4,3,1,0,1,1,2
"766",662,1,5,6,1,1,4,3,4,3,2,0,0,0,0,3
"1166",662,1,5,6,1,1,4,3,4,3,2,1,1,0,0,3
"2170",662,1,5,6,1,1,4,3,4,3,2,0,0,1,1,3
"2568",662,1,5,6,1,1,4,3,4,3,2,1,1,1,1,2
"968",663,2,5,3,4,5,2,3,3,2,4,1,0,0,0,3
"1369",663,2,5,3,4,5,2,3,3,2,4,1,0,0,1,3
"2171",663,2,5,3,4,5,2,3,3,2,4,0,0,1,1,3
"2569",663,2,5,3,4,5,2,3,3,2,4,1,1,1,1,2
"365",664,2,4,3,6,NA,3,3,4,2,3,0,0,0,1,3
"1970",664,2,4,3,6,NA,3,3,4,2,3,0,1,1,0,4
"2370",664,2,4,3,6,NA,3,3,4,2,3,0,1,1,1,2
"2970",664,2,4,3,6,NA,3,3,4,2,3,1,0,1,1,2
"164",665,1,4,3,2,7,1,3,5,2,4,0,1,0,1,2
"566",665,1,4,3,2,7,1,3,5,2,4,0,1,0,0,3
"1167",665,1,4,3,2,7,1,3,5,2,4,1,1,0,0,3
"1768",665,1,4,3,2,7,1,3,5,2,4,0,1,0,1,2
"767",666,1,7,5,6,NA,3,3,3,3,2,0,0,0,0,4
"1568",666,1,7,5,6,NA,3,3,3,3,2,1,1,0,1,3
"2771",666,1,7,5,6,NA,3,3,3,3,2,1,1,1,0,3
"3171",666,1,7,5,6,NA,3,3,3,3,2,1,0,1,0,4
"366",667,1,6,5,3,7,3,4,2,4,4,0,0,0,1,3
"1168",667,1,6,5,3,7,3,4,2,4,4,1,1,0,0,3
"2570",667,1,6,5,3,7,3,4,2,4,4,1,1,1,1,2
"2971",667,1,6,5,3,7,3,4,2,4,4,1,0,1,1,3
"567",668,2,3,4,2,3,4,2,4,2,4,0,1,0,0,4
"969",668,2,3,4,2,3,4,2,4,2,4,1,0,0,0,4
"1569",668,2,3,4,2,3,4,2,4,2,4,1,1,0,1,3
"2172",668,2,3,4,2,3,4,2,4,2,4,0,0,1,1,3
"165",669,1,5,2,5,6,2,4,3,3,3,0,1,0,1,2
"1971",669,1,5,2,5,6,2,4,3,3,3,0,1,1,0,2
"2371",669,1,5,2,5,6,2,4,3,3,3,0,1,1,1,2
"2772",669,1,5,2,5,6,2,4,3,3,3,1,1,1,0,2
"768",670,2,4,5,2,3,2,3,3,3,3,0,0,0,0,4
"1370",670,2,4,5,2,3,2,3,3,3,3,1,0,0,1,3
"1769",670,2,4,5,2,3,2,3,3,3,3,0,1,0,1,4
"3172",670,2,4,5,2,3,2,3,3,3,3,1,0,1,0,3
"1169",671,1,4,5,2,2,2,2,4,1,4,1,1,0,0,4
"1371",671,1,4,5,2,2,2,2,4,1,4,1,0,0,1,4
"1570",671,1,4,5,2,2,2,2,4,1,4,1,1,0,1,3
"1770",671,1,4,5,2,2,2,2,4,1,4,0,1,0,1,4
"367",672,2,4,3,6,NA,3,4,3,3,3,0,0,0,1,3
"1972",672,2,4,3,6,NA,3,4,3,3,3,0,1,1,0,3
"2173",672,2,4,3,6,NA,3,4,3,3,3,0,0,1,1,3
"2372",672,2,4,3,6,NA,3,4,3,3,3,0,1,1,1,2
"166",673,1,5,6,2,1,2,2,4,2,2,0,1,0,1,2
"970",673,1,5,6,2,1,2,2,4,2,2,1,0,0,0,4
"2773",673,1,5,6,2,1,2,2,4,2,2,1,1,1,0,3
"2972",673,1,5,6,2,1,2,2,4,2,2,1,0,1,1,3
"568",674,2,4,NA,2,3,2,4,2,1,3,0,1,0,0,4
"769",674,2,4,NA,2,3,2,4,2,1,3,0,0,0,0,4
"2571",674,2,4,NA,2,3,2,4,2,1,3,1,1,1,1,3
"3173",674,2,4,NA,2,3,2,4,2,1,3,1,0,1,0,4
"770",675,2,3,5,3,4,3,3,3,2,3,0,0,0,0,3
"1372",675,2,3,5,3,4,3,3,3,2,3,1,0,0,1,2
"2774",675,2,3,5,3,4,3,3,3,2,3,1,1,1,0,3
"2973",675,2,3,5,3,4,3,3,3,2,3,1,0,1,1,3
"971",676,1,5,5,2,5,3,3,3,1,4,1,0,0,0,4
"1973",676,1,5,5,2,5,3,3,3,1,4,0,1,1,0,4
"2174",676,1,5,5,2,5,3,3,3,1,4,0,0,1,1,3
"2572",676,1,5,5,2,5,3,3,3,1,4,1,1,1,1,2
"368",677,1,5,2,5,4,4,1,5,1,3,0,0,0,1,2
"1771",677,1,5,2,5,4,4,1,5,1,3,0,1,0,1,1
"2373",677,1,5,2,5,4,4,1,5,1,3,0,1,1,1,1
"3174",677,1,5,2,5,4,4,1,5,1,3,1,0,1,0,2
"167",678,1,6,5,1,4,1,4,2,3,2,0,1,0,1,2
"569",678,1,6,5,1,4,1,4,2,3,2,0,1,0,0,3
"1170",678,1,6,5,1,4,1,4,2,3,2,1,1,0,0,3
"1571",678,1,6,5,1,4,1,4,2,3,2,1,1,0,1,2
"369",679,1,6,5,6,NA,1,5,2,3,2,0,0,0,1,4
"972",679,1,6,5,6,NA,1,5,2,3,2,1,0,0,0,4
"1373",679,1,6,5,6,NA,1,5,2,3,2,1,0,0,1,3
"2775",679,1,6,5,6,NA,1,5,2,3,2,1,1,1,0,4
"168",680,2,2,2,3,2,2,2,2,2,2,0,1,0,1,2
"1171",680,2,2,2,3,2,2,2,2,2,2,1,1,0,0,3
"1772",680,2,2,2,3,2,2,2,2,2,2,0,1,0,1,3
"2974",680,2,2,2,3,2,2,2,2,2,2,1,0,1,1,2
"771",681,2,4,5,6,NA,4,3,4,5,2,0,0,0,0,3
"1572",681,2,4,5,6,NA,4,3,4,5,2,1,1,0,1,3
"2175",681,2,4,5,6,NA,4,3,4,5,2,0,0,1,1,3
"3175",681,2,4,5,6,NA,4,3,4,5,2,1,0,1,0,3
"570",682,1,5,5,2,3,2,4,3,4,4,0,1,0,0,5
"1974",682,1,5,5,2,3,2,4,3,4,4,0,1,1,0,5
"2374",682,1,5,5,2,3,2,4,3,4,4,0,1,1,1,4
"2573",682,1,5,5,2,3,2,4,3,4,4,1,1,1,1,3
"571",683,1,7,3,6,NA,2,2,5,3,4,0,1,0,0,4
"1773",683,1,7,3,6,NA,2,2,5,3,4,0,1,0,1,4
"2176",683,1,7,3,6,NA,2,2,5,3,4,0,0,1,1,4
"2375",683,1,7,3,6,NA,2,2,5,3,4,0,1,1,1,3
"370",684,1,6,5,5,4,2,3,4,2,2,0,0,0,1,3
"1172",684,1,6,5,5,4,2,3,4,2,2,1,1,0,0,3
"1573",684,1,6,5,5,4,2,3,4,2,2,1,1,0,1,2
"3176",684,1,6,5,5,4,2,3,4,2,2,1,0,1,0,3
"169",685,2,6,4,6,NA,2,2,4,1,2,0,1,0,1,2
"772",685,2,6,4,6,NA,2,2,4,1,2,0,0,0,0,4
"1975",685,2,6,4,6,NA,2,2,4,1,2,0,1,1,0,2
"2975",685,2,6,4,6,NA,2,2,4,1,2,1,0,1,1,3
"973",686,1,6,3,4,2,2,2,3,2,3,1,0,0,0,3
"1374",686,1,6,3,4,2,2,2,3,2,3,1,0,0,1,2
"2574",686,1,6,3,4,2,2,2,3,2,3,1,1,1,1,2
"2776",686,1,6,3,4,2,2,2,3,2,3,1,1,1,0,3
"974",687,1,4,5,2,3,2,NA,3,1,3,1,0,0,0,3
"1375",687,1,4,5,2,3,2,NA,3,1,3,1,0,0,1,2
"2575",687,1,4,5,2,3,2,NA,3,1,3,1,1,1,1,2
"2777",687,1,4,5,2,3,2,NA,3,1,3,1,1,1,0,2
"773",688,1,6,2,5,7,3,2,5,1,4,0,0,0,0,1
"1574",688,1,6,2,5,7,3,2,5,1,4,1,1,0,1,1
"2177",688,1,6,2,5,7,3,2,5,1,4,0,0,1,1,3
"2976",688,1,6,2,5,7,3,2,5,1,4,1,0,1,1,2
"371",689,2,5,2,6,NA,5,1,5,1,3,0,0,0,1,3
"572",689,2,5,2,6,NA,5,1,5,1,3,0,1,0,0,3
"1173",689,2,5,2,6,NA,5,1,5,1,3,1,1,0,0,3
"2376",689,2,5,2,6,NA,5,1,5,1,3,0,1,1,1,2
"170",690,1,4,5,2,3,3,3,4,3,3,0,1,0,1,3
"1774",690,1,4,5,2,3,3,3,4,3,3,0,1,0,1,4
"1976",690,1,4,5,2,3,3,3,4,3,3,0,1,1,0,3
"3177",690,1,4,5,2,3,3,3,4,3,3,1,0,1,0,3
"372",691,2,3,2,3,4,1,3,5,2,4,0,0,0,1,3
"573",691,2,3,2,3,4,1,3,5,2,4,0,1,0,0,4
"1575",691,2,3,2,3,4,1,3,5,2,4,1,1,0,1,2
"3178",691,2,3,2,3,4,1,3,5,2,4,1,0,1,0,4
"171",692,1,6,3,6,NA,3,2,2,2,4,0,1,0,1,3
"1376",692,1,6,3,6,NA,3,2,2,2,4,1,0,0,1,3
"2178",692,1,6,3,6,NA,3,2,2,2,4,0,0,1,1,3
"2377",692,1,6,3,6,NA,3,2,2,2,4,0,1,1,1,2
"1977",693,1,3,5,5,2,3,2,5,1,3,0,1,1,0,2
"2576",693,1,3,5,5,2,3,2,5,1,3,1,1,1,1,1
"2778",693,1,3,5,5,2,3,2,5,1,3,1,1,1,0,3
